date,score,condition,equity_pct,debt_pct,gold_pct,nifty,vix,red_flag
2026-04-20,45,NEUTRAL,55,30,15,24387.25,18.16,NO
2026-04-20,46,NEUTRAL,55,30,15,24353.35,18.18,NO
2026-04-20,47,NEUTRAL,55,30,15,24428.45,17.98,NO
2026-04-20,47,NEUTRAL,55,30,15,24439.55,17.98,NO
2026-04-20,45,NEUTRAL,55,30,15,24440.55,18.14,NO
2026-04-20,45,NEUTRAL,55,30,15,24432.45,18.23,NO
2026-04-20,45,NEUTRAL,55,30,15,24386.5,18.76,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-20,47,NEUTRAL,55,30,15,24364.85,18.79,NO
2026-04-21,48,NEUTRAL,55,30,15,24333.85,18.79,NO
2026-04-21,50,NEUTRAL,55,30,15,24502.45,17.91,NO
2026-04-21,50,NEUTRAL,55,30,15,24530.65,17.72,NO
2026-04-21,50,NEUTRAL,55,30,15,24523.95,17.75,NO
2026-04-21,50,NEUTRAL,55,30,15,24556.15,17.64,NO
2026-04-21,50,NEUTRAL,55,30,15,24536.3,17.69,NO
2026-04-21,50,NEUTRAL,55,30,15,24557.0,17.64,NO
2026-04-21,50,NEUTRAL,55,30,15,24560.3,17.6,NO
2026-04-21,50,NEUTRAL,55,30,15,24531.2,17.64,NO
2026-04-21,50,NEUTRAL,55,30,15,24575.0,17.59,NO
2026-04-21,50,NEUTRAL,55,30,15,24576.6,17.53,NO
2026-04-21,50,NEUTRAL,55,30,15,24576.6,17.53,NO
2026-04-21,50,NEUTRAL,55,30,15,24576.6,17.53,NO
2026-04-21,50,NEUTRAL,55,30,15,24576.6,17.53,NO
